ID,texto,likesCount,locationname,TimeStamp,Comments,SavedItems,Reproducciones
67,És dissabte pero seguim rebent publicacions #menysviolencia #mesigualtat Ens ajudes enviant-nos una? @equalproyecto,1,Barcelona,14/12/2019,,,
68,Empezamos el sábado recibiendo más publicaciones #menysviolencia #mesigualtat Mandanos por privado la que encuentres @equalproyecto,1,Barcelona,14/12/2019,,,
69,@equalproyecto,1,Barcelona,14/12/2019,,,
70,Envía publicaciones machistas o sexistas que encuentres en Instagram a @equalproyecto Te apuntas? ,1,Barcelona,13/12/2019,,,
71,Otra publicación que nos llega gracias a que estais participando #mesigualtat Ayúdanos envía a @equalproyecto,1,Barcelona,12/12/2019,,,
72,Una altra publicació que en´s arriba de una seguidora. Envia una a @equalproyecto ,1,Barcelona,13/12/2019,,,
73,Gracias a la seguidora que nos ha enviado este post #menysviolencia ,1,Barcelona,13/12/2019,,,
74,Seguin rebent publicaccions igualitaries i sexistes. Envía la que trobis a @equalproyecto ,1,Barcelona,14/12/2019,,,
75,Envian´s la que trobis. Gracies a la nostre seguidora per enviar-nos aquesta publicació masclesta ,1,Barcelona,14/12/2019,,,
76,Nova publicació igualitarie rebuda! Grcaies Enviern´s la teva @equalproyecto,1,Barcelona,13/12/2019,,,
77,En´s envies una? Gracies una altre publicació sexiste de parte d´una seguidora #menysviolencia ,1,Barcelona,13/12/2019,,,
78,Gracies per enviar-nos + publicacions masclistes ,1,Barcelona,13/12/2019,,,
79,#mesigualtat @equalproyecto,1,Barcelona,20/12/2019,,,
80,#menysviolencia,1,Barcelona,19/12/2019,,,
81,@equalproyecto,1,Barcelona,13/12/2019,,,
82,Com funciona? Participa! @equalproyecto,1,Barcelona,13/12/2019,,,
83,#menysviolencia,1,Barcelona,22/12/2019,,,
84,#mesigualtat,1,Barcelona,20/12/2019,,,
85,@equalproyecto Publicacions PARTICIPA!,1,Barcelona,11/12/2019,,,
86,#menysviolencia,1,Barcelona,16/12/2019,,,
87,#igualdaddegenero @equalproyecto Participa!,1,Barcelona,6/12/2019,,,
88,En marcha la campaña @equalproyecto PARTICIPA!,1,Barcelona,7/12/2109,,,
89,@equalproyecto Participa!,1,Barcelona,6/12/2019,,,
90,Machismo x prefiero macha te @equalproyecto,1,Barcelona,7/12/2019,,,
91,Hoy arranca esta campaña os invito a seguir y participar Follow @equalproyecto,1,Barcelona,5/12/2019,,,
92,@equalproyecto #igualdaddegenero,3,Barcelona,5/12/2019,,,
