ID,texto,likesCount,locationname,TimeStamp,ID,SavedItems,Número de Posts #menysviolencia,Número de Posts #mesigualtat
60,"Voy a ignorarlo, no pasa nada. Estoy bien. no pasa nada. @quesearock99",2,Barcelona,10/12/2019,0,0,1,0
61,Esa vez que me tocaran en el metro,2,Barcelona,10/12/2019,0,0,1,0
62,Hasta el coño de acoso sexual @hastaelco_,5,Barcelona,10/12/2019,0,0,1,0
63,Mil veces intentó arreglar lo que yo no rompí,3,Barcelona,10/12/2019,0,0,1,0
64,Excusas absurdos para no usar preservativo @maria_esclavez,2,Barcelona,10/12/2019,0,0,1,0
65,Mujer maltratado,2,Barcelona,10/12/2019,0,0,1,0
66,Cosificacion,2,Barcelona,10/12/2019,0,0,1,0
67,"No dudo de tu amor, dudo de ti.",5,Barcelona,12/12/2019,0,0,1,0
68,denuncia acoso,4,Barcelona,12/12/2019,0,0,1,0
69,video violecia,2,Barcelona,12/12/2019,0,0,1,0
70,¿Qué hago si soy un soy victima de cyberacoso?,5,Barcelona,12/12/2019,0,0,1,0
71,Identifica a un chantachista  emocional,4,Barcelona,13/12/2019,0,0,1,0
72,No me hagas enojar o me voy.. Vete,5,Barcelona,13/12/2019,0,0,1,0
73,Pon fin al chantaje emocional.,1,Barcelona,13/12/2019,0,0,1,0
74,Sextorsión. Clisex ,1,Barcelona,13/12/2019,0,0,1,0
75,"Esto es la última vez que te quiero, creáme",1,Barcelona,13/12/2019,0,0,1,0
76,"No todos somos violadores, aunque fomentamos la cultura de la violación",2,Barcelona,13/12/2019,0,0,1,0
77,"Jack, sube, salvamos los dos. No Rosa, sálvate tu nomas.",1,Barcelona,13/12/2019,0,0,1,0
78,Calentometro. Sexting seguro y sabroso para todos.,1,Barcelona,13/12/2019,0,0,1,0
79,"Tipos de violencia: física, psicologica, sexual, simbólica, patramonial y económica",5,Barcelona,13/12/2019,0,0,1,0
80, Disfraces sexy. ,1,Barcelona,14/12/2019,0,0,1,0
81,La formula de Santa Monica para no pelear,1,Barcelona,13/12/2019,0,0,1,0
82,E tinger cosificacion ,1,Barcelona,14/12/2019,0,0,1,0
83,Violar ,0,Barcelona,14/12/2019,0,0,1,0
84,La dominación masculina ,2,Barcelona,14/12/2019,0,0,1,0
85,Tipos de violencia que una mujer debe denunciar,1,Barcelona,14/12/2019,0,0,1,0
86,Tipos de violencia : Violencia Simbolica,6,Barcelona,14/12/2019,0,0,1,0
87,Violencia Simbolica,1,Barcelona,14/12/2019,0,0,1,0
88,"No, no es violento, si no me pega, pero...",2,Barcelona,14/12/2019,0,0,1,0
89,Lo entendi todo cuando Meridith digo a Derek: No me voy a disculpar por mi manera de reparar de lo que tu rompiste. ,1,Barcelona,15/12/2019,0,0,1,0
90,Amorpropio ,3,Barcelona,15/12/2019,0,0,0,1
91,Eres una princesa,2,Barcelona,15/12/2019,0,0,1,0
92,Sonrie aunque te cuesta ,3,Barcelona,17/12/2019,0,0,1,0
93,Vivir Juntos ,1,Barcelona,16/12/2019,0,0,1,0
94,What parents need to know about sexting,1,Barcelona,17/12/2019,0,0,1,0
95,Your kids and technology. Our kids are engaged in a battle they never prepared for. ENDIT,1,Barcelona,17/12/2019,0,0,1,0
96,La victima de la mamada fue violada 10 veces en 1 minuto.,2,Barcelona,17/12/2019,0,0,1,0
97,mesigualtat ,3,Barcelona,17/12/2019,0,0,0,1
98,"Hola Tamara, cómo estas?",1,Barcelona,17/12/2019,0,0,0,1
99,All I want for Christmas is fundamental human rights,3,Barcelona,17/12/2019,0,0,0,1
