ID,texto,likesCount,locationname,TimeStamp,Comments,SavedItems,
24,"En Equal no només volem visibilitzar les violències masclistes que ocorren a Instagram, sinó també les pràctiques igualitàries. 🎯 👉🏻 Si trobes alguna d'aquestes pràctiques en el teu timeline envia-la per DM o esmenta @equalproyecto, amb la teva ajuda farem la primera base de dades sobre violència i igualtat en instagram. 🙌",18,Barcelona,16/12/2019,0,0,
25,‼️ABUSO SEXUAL‼️. 👉🏻 Súper Equal nos habla de este tipo de violencia en redes sociales. .,16,Barcelona,16/12/2019,0,0,
26,"Gritemos para decir basta a la violencia machista, pero también para promover la igualdad! 💪📌 Si encuentras publicaciones sobre igualdad y empoderamiento femenino en tu timeline de instagram envíala por DM o menciona a @equalproyecto. .
📌 Perfil privado? Envíanos una captura a @equalproyecto 👉🏻 Recogeremos datos hasta el 19 de diciembre! #stopsexting #mesigualtat #menysviolencia #stopviolenceagainstwomen #stopbullying #igualtat #igualdad #igualdaddegenero #mujeres #feminismo #noesno #quesesepa",24,Barcelona,17/12/2019,0,0,
27,Sabies que el 37% dels joves reconeix haver exercit violència masclista? 🤔 📌 Ajuda'ns a visibilitzar les violències que ocorren a Instagram. PARTICIPA! #menysviolencia #mesigualtat #violencia #violenciamachista #stopviolence #stopviolencia,13,Barcelona,17/12/2019,0,0,
28,Tipos de violencia en redes sociales. Súper Equal nos habla de ‼️ACCESO NO AUTORIZADO‼️ #stopviolenceagainstwomen #stopviolence #stopabuso #menysviolencia #mesigualtat #violencia #violenciamachista #redessociales #socialmedia,11,Barcelona,18/12/2019,0,0,
29,"✅ Conoce proyectos que están usando big data y otras tecnologías para combatir la violencia de género. @equalproyecto es uno de ellos, entérate de otros entrando a 👉🏻 www.techviolenciagenere.cat #Repost @donesenxarxa with @get_repost. 🔅Presentem la nostra iniciativa TECH PER COMBATRE LA VIOLÈNCIA DE GÈNERE, amb el suport del Departament de Treball de la Generalitat. 👩🏻‍💻Un espai web on podreu trobar projectes innovadors basats en la tecnologia per combatre la violència de gènere.",76,Barcelona,18/12/2019,0,0,VIDEO
30,"Hoy hace 13 días que lanzamos la campaña Equal, hasta mañana 19 de diciembre a las 00:00h recogeremos datos. 👉🏻 Si aún no lo has hecho, te invitamos a participar!  🎯 Envíanos las imágenes igualitarias o machistas / sexistas que encuentres en instagram. 👉🏻 Con tu aporte haremos una base de datos sobre violencia en redes sociales‼️garantizando la confidencialidad‼️ Te animas? 💪🤟 #violencia #igualdad #quesesepa #menysviolencia #mesigualtat #stopviolenceagainstwomen #stopviolenciadegenero #noesno #geminismo #lastcall #masclisme #redessociales #socialmedia",22,Barcelona,18/12/2019,0,0,
31,✊🏻✊🏻 Ens ajudeu a promoure la igualtat i a visibilitzar la violència que ocorre en instagram? Segueix les instruccions 👆🏻👆🏻👆🏻 #menysviolencia #mesigualtat #violenciamachista #noesno #niunamenos #quesesepa #stopviolence #stopviolencia,34,Barcelona,19/12/2019,1,0,
32,"🎯 Hemos recibido cientos de imágenes con las que haremos una de los primeras bancos de datos -confidenciales- con prácticas igualitarias y sexistas/machistas que ocurren en Instagram. Miles de gracias a todas y todos los que habéis enviado publicaciones, gracias por la valentía de no solo mencionarnos si no también compartirlos. gracias por usar 👉🏻 #menysviolencia y #mesigualtat sin vosotros no podíamos haber llegado hasta aquí. 🙌💪 Seguiremos recogiendo datos hasta el domingo 22/12 por la noche. Muy pronto podremos ver los resultados! 🤟 #equalproyecto #igualdad #violencia #violenciadigital #violenciamachista #datos #violenciamasclista #dades #stopviolence #masclisme #gracias #thanks #gracies",19,Barcelona,19/12/2019,2,0,
33,"📌 Los datos nos permiten conocer la realidad de los fenómenos sociales. Las redes sociales son el espacio público donde las personas jóvenes se relacionan, necesitamos conocer datos sobre prácticas machistas / sexistas pero también sobre publicaciones igualitarias que promueven el empoderamiento femenino en Instagram, por ser esta una de las redes sociales más usadas por la generación Z, por ello ha nacido @equalproyecto. 📢Hasta el domingo 22/12 recogeremos datos, PARTICIPA!!! #menysviolencia #mesigualtat #datos #dades #dones #mujeres #violencia #igualdad #stopviolencia #socialmedia #redessociales",13,Barcelona,20/12/2019,0,0,
34,A por la igualdad 💪🎯 Buenos días a todas! / Bon dia a totes! ☀️ . #mesigualtat #menysviolencia #juntassomosmasfuertes #frase #igualdad #igualtat #equilibrio #quoteoftheday #quotes #noesno #feminismo #instaquote #buendia #stopviolencia #frasedeldia #niunamenos,40,Barcelona,21/12/2019,0,0,
35,‼️AFECTACIONES A CANALES DE EXPRESIÓN‼️ 👉🏻 Súper Equal nos habla de este tipo de violencia machista en redes sociales. #menysviolencia #violencia #igers #machismo #machisme #quesesepa #violenciamachista #socialmedia #redessociales #expresion #abuso #seximo #mesigualtat #afectadas,19,Barcelona,22/12/2019,0,0,
36,"🎯 El proyecto @equalproyecto busca visibilizar la violencia machista, pero también prácticas igualitarias que ocurren en Instagram. 📣HASTA HOY 00h RECOGEREMOS DATOS 📣 👉🏻 Solo tienes que enviar por DM o mencionarnos @equalproyecto en las imágenes que consideres con alguna de estas condiciones. 💯CONFIDENCIAL Con tu ayuda haremos el primer banco de datos sobre violencia machista de esta red social. 💪🙌 #menysviolencia #mesigualtat #violencia #violenciamachista #help #redsocial #datos #dades #igualdad",11,Barcelona,22/12/2019,0,0,
37,"Por aquí no tenemos otra cosa que agraceros a todas y cada una de las personas que habéis participado en nuestra campaña @equalproyecto hasta ahora hemos recibido más de 1️⃣0️⃣0️⃣0️⃣ publicaciones, millones de GRACIAS por el apoyo, el tiempo y la valentía de decir basta! Con vuestra ayuda haremos visible lo invisible!! 🙏🙏 Muy pronto podréis ver los resultados en 👉🏻 www.projecte-equal.com. #menysviolencia #mesigualtat #igualdad #violenciamachista #violenciadigital #thankful #gracies #stopviolenciamachista #gracias",23,Barcelona,22/12/2019,0,0,
38,"Nos queremos vivas y seguras donde estemos, también en las redes sociales! 💪📢 #niunamenos #stopviolence #stopviolenciamachista #violenciamachista #basta #mesigualtat #menysviolencia #redessociales #socialmedia",33,Barcelona,24/12/2019,0,0,
39,"La violència masclista segueix sent un tema que els que el pateixen i practiquen, solen amagar durant molt de temps. @equalproyecto vol donar visibilitat a les violències que es consideren el germen o l'origen de les violències més visibles, com ara l'humor / imatges / llenguatge i publicitat sexista, humiliació, menyspreu, control, desvalorització, micro masclisme, entre altres que solen romandre invisibilitzats i que en ocasions fins i tot no es contempla com a tal per part de la pròpia víctima. #mesigualtat #menysviolencia #violencia #violenciamachista #stopviolenceagainstwomen #stopviolencia #noesno #catalunya #niunamenos #datos #dades",18,Barcelona,28/12/2019,0,0,
